@TIME_PERIOD,@OBS_VALUE
2004-09,21
2004-10,21
2004-11,21.67
2004-12,21.5
2005-01,21.5
2005-02,21.5
2005-03,21
2005-04,21
2005-05,21
2005-06,21
2005-07,21
2005-08,21
2005-09,21
2005-10,21
2005-11,17.95
2005-12,17.5
2006-01,17.4333333333333
2006-02,17.4333333333333
2006-03,16.75
2006-04,16.5
2006-05,16.5
2006-06,16.2
2006-07,16.5
2006-08,16.25
2006-09,16
2006-10,16
2006-11,16
2006-12,15.5
2007-01,14
2007-02,14
2007-03,13.7633333333333
2007-04,13.7633333333333
2007-05,12.39
2007-06,12.08
2007-07,12.08
2007-08,12.08
2007-09,12.08
2007-10,12.08
2007-11,12.08
2007-12,12.08
2008-01,12.08
2008-02,12.08
2008-03,14
2008-04,13.5
2008-05,16
2008-06,16
2008-07,16
2008-08,16
2008-09,16
2008-10,16
2008-11,15
2008-12,16
2009-01,16
2009-02,16
2009-03,16
2010-01,16
2010-02,16
2010-03,19
2010-04,14.99
2010-05,14.99
2010-06,16.65
2010-07,15.65
2010-08,14.25
2010-09,14.25
2010-10,13.3
2010-11,13.3
2010-12,13.3
2011-01,13.3
2011-02,13.45
2011-03,13.45
2011-04,13.45
2011-05,13.45
2011-06,13
2011-07,13
2011-08,13
2011-09,13
2011-10,14
2011-11,14
2011-12,14
2012-01,14
2012-02,14.99
2012-03,14.99
2012-04,14.99
2012-05,24
2012-06,24
2012-07,24
2012-08,24
2012-09,24
2012-10,21
2012-11,21
2012-12,24
2013-01,16.73
2013-02,16.73
2013-03,16.9
2013-04,16.9
2013-05,16.9
2013-06,19.24
2013-07,19.24
2013-08,19.24
2013-09,19.24
2013-10,19.24
2013-11,19.24
2013-12,19.24
2014-01,19.24
2014-02,23
2014-03,23
2014-04,24.48
2014-05,25.48
2014-06,24.44
2014-07,25.4
2014-08,25.4
2014-09,25.4
2014-10,25.4
2014-11,25.4
2014-12,25.4
2015-01,25.4
2015-02,23.23
2015-03,23.23
2015-04,22.49
2015-05,23.47
2015-06,23.47
2015-07,23.49
2015-08,23.49
2015-09,23.49
2015-10,23.49
2015-11,23.49
2015-12,23.49
2016-01,24.75
2016-02,24.75
2016-03,24.75
2016-04,24.5
2016-05,24.5
2016-06,24.5
2016-07,24.5
2016-08,24.5
2016-09,24
2016-10,24
2016-11,24
2016-12,24
2017-01,24
2017-02,24
2017-03,21.5
2017-04,21.5
2017-05,21.5
2017-06,18.5
2017-07,18.5
2017-08,18.5
2017-09,18.25
2017-10,18.25
2017-11,18.25
2017-12,18.25
2018-01,18.25
2018-02,18.25
2018-03,16.5
2018-04,16.5
2018-05,16.25
2018-06,16.25
2018-07,17.75
2018-08,17.75
2018-09,17.5
2018-10,19.5
2018-11,19.5
2018-12,19.5
2019-01,20
2019-02,20
2019-03,20
2019-04,20
2019-05,19.7
2019-06,19.7
2019-07,19.7
2019-08,19.7
2019-09,19.7
2019-10,19.7
2019-11,19.7
2019-12,19.7
2020-01,20.75
2020-02,20.75
2020-03,20.75
2020-04,19
2020-05,19
2020-06,18.85
