@TIME_PERIOD,@OBS_VALUE
1964-01,4.5
1964-02,4.5
1964-03,4.5
1964-04,4.5
1964-05,4.5
1964-06,4.5
1964-07,4.5
1964-08,4.5
1964-09,4.5
1964-10,4.5
1964-11,4.5
1964-12,4.5
1965-01,4.5
1965-02,4.5
1965-03,4.5
1965-04,4.5
1965-05,4.5
1965-06,4.5
1965-07,4.5
1965-08,4.5
1965-09,4.5
1965-10,4.5
1965-11,4.5
1965-12,4.5
1966-01,7
1966-02,7
1966-03,7
1966-04,7
1966-05,7
1966-06,7
1966-07,7
1966-08,7
1966-09,7
1966-10,7
1966-11,7
1966-12,7
1967-01,7
1967-02,7
1967-03,7
1967-04,7
1967-05,6
1967-06,6
1967-07,6
1967-08,6
1967-09,6
1967-10,6
1967-11,6
1967-12,6
1968-01,6
1968-02,6
1968-03,5.5
1968-04,5.5
1968-05,5.5
1968-06,5.5
1968-07,5.5
1968-08,5.5
1968-09,5.5
1968-10,5.5
1968-11,5.5
1968-12,5.5
1969-01,5.5
1969-02,5.5
1969-03,5.5
1969-04,5.5
1969-05,5.5
1969-06,5.5
1969-07,5.5
1969-08,5.5
1969-09,5.5
1969-10,5.5
1969-11,5.5
1969-12,5.5
1970-01,5.5
1970-02,5.5
1970-03,5.5
1970-04,5.5
1970-05,5.5
1970-06,5.5
1970-07,5.5
1970-08,5.5
1970-09,5.5
1970-10,5.5
1970-11,5.5
1970-12,5.5
1971-01,5.5
1971-02,5.5
1971-03,5.5
1971-04,5.5
1971-05,5.5
1971-06,5.5
1971-07,8
1971-08,8
1971-09,8
1971-10,8
1971-11,8
1971-12,8
1972-01,8
1972-02,8
1972-03,8
1972-04,8
1972-05,8
1972-06,8
1972-07,8
1972-08,8
1972-09,8
1972-10,8
1972-11,8
1972-12,8
1973-01,8
1973-02,8
1973-03,8
1973-04,8
1973-05,8
1973-06,8
1973-07,8
1973-08,6
1973-09,6
1973-10,6
1973-11,6
1973-12,6
1974-01,6
1974-02,6
1974-03,6
1974-04,6
1974-05,6
1974-06,6
1974-07,6
1974-08,6
1974-09,6
1974-10,6
1974-11,6
1974-12,6
1975-01,6
1975-02,6
1975-03,6
1975-04,6
1975-05,6
1975-06,6
1975-07,6
1975-08,6
1975-09,6
1975-10,8
1975-11,8
1975-12,8
1976-01,8
1976-02,8
1976-03,8
1976-04,8
1976-05,8
1976-06,8
1976-07,8
1976-08,8
1976-09,8
1976-10,8
1976-11,8
1976-12,8
1977-01,8
1977-02,8
1977-03,8
1977-04,8
1977-05,8
1977-06,8
1977-07,8
1977-08,8
1977-09,8
1977-10,8
1977-11,8
1977-12,8
1978-01,8
1978-02,8
1978-03,8
1978-04,8
1978-05,8
1978-06,8
1978-07,8
1978-08,8
1978-09,13.5
1978-10,13.5
1978-11,13.5
1978-12,13.5
1979-01,13.5
1979-02,13.5
1979-03,13.5
1979-04,13.5
1979-05,13.5
1979-06,13.5
1979-07,13.5
1979-08,13.5
1979-09,13.5
1979-10,13.5
1979-11,13.5
1979-12,13.5
1980-01,13.5
1980-02,13.5
1980-03,13.5
1980-04,13.5
1980-05,13.5
1980-06,13.5
1980-07,13.5
1980-08,13.5
1980-09,13.5
1980-10,13.5
1980-11,13.5
1980-12,13.5
1981-01,13.5
1981-02,13.5
1981-03,13.5
1981-04,13.5
1981-05,13.5
1981-06,13.5
1981-07,13.5
1981-08,13.5
1981-09,19.5
1981-10,19.5
1981-11,19.5
1981-12,19.5
1982-01,19.5
1982-02,19.5
1982-03,19.5
1982-04,19.5
1982-05,19.5
1982-06,10.5
1982-07,10.5
1982-08,10.5
1982-09,10.5
1982-10,10.5
1982-11,10.5
1982-12,10.5
1983-01,10.5
1983-02,10.5
1983-03,10.5
1983-04,10.5
1983-05,10.5
1983-06,10.5
1983-07,10.5
1983-08,10.5
1983-09,10.5
1983-10,14.5
1983-11,14.5
1983-12,14.5
1984-01,14.5
1984-02,14.5
1984-03,14.5
1984-04,14.5
1984-05,14.5
1984-06,14.5
1984-07,14.5
1984-08,16.5
1984-09,16.5
1984-10,16.5
1984-11,16.5
1984-12,18
1985-01,18
1985-02,18
1985-03,18
1985-04,18
1985-05,18
1985-06,18
1985-07,18
1985-08,18
1985-09,18.5
1985-10,18.5
1985-11,18.5
1985-12,18.5
1986-01,18.5
1986-02,18.5
1986-03,18.5
1986-04,18.5
1986-05,18.5
1986-06,18.5
1986-07,18.5
1986-08,18.5
1986-09,20.5
1986-10,20.5
1986-11,20.5
1986-12,20.5
1987-01,20.5
1987-02,20.5
1987-03,23.5
1987-04,23.5
1987-05,23.5
1987-06,23.5
1987-07,23.5
1987-08,23.5
1987-09,23.5
1987-10,23.5
1987-11,23.5
1987-12,23.5
1988-01,23.5
1988-02,23.5
1988-03,26
1988-04,26
1988-05,26
1988-06,26
1988-07,26
1988-08,26
1988-09,26
1988-10,26
1988-11,26
1988-12,26
1989-01,26
1989-02,26
1989-03,26
1989-04,26
1989-05,26
1989-06,26
1989-07,26
1989-08,26
1989-09,26
1989-10,26
1989-11,26
1989-12,26
1990-01,26
1990-02,26
1990-03,26
1990-04,26
1990-05,26
1990-06,26
1990-07,26
1990-08,26
1990-09,26
1990-10,26
1990-11,33
1990-12,33
1991-01,35
1991-02,35
1991-03,35
1991-04,35
1991-05,35
1991-06,35
1991-07,35
1991-08,32
1991-09,32
1991-10,32
1991-11,25
1991-12,20
1992-01,20
1992-02,20
1992-03,20
1992-04,20
1992-05,20
1992-06,20
1992-07,20
1992-08,23
1992-09,26
1992-10,26
1992-11,26
1992-12,30
1993-01,30
1993-02,30
1993-03,35
1993-04,35
1993-05,35
1993-06,35
1993-07,35
1993-08,35
1993-09,35
1993-10,35
1993-11,35
1993-12,35
1994-01,30
1994-02,30
1994-03,30
1994-04,30
1994-05,30
1994-06,30
1994-07,30
1994-08,30
1994-09,30
1994-10,33
1994-11,33
1994-12,33
1995-01,39
1995-02,39
1995-03,39
1995-04,39
1995-05,39
1995-06,39
1995-07,39
1995-08,39
1995-09,45
1995-10,45
1995-11,45
1995-12,45
1996-01,45
1996-02,45
1996-03,45
1996-04,45
1996-05,45
1996-06,45
1996-07,45
1996-08,45
1996-09,45
1996-10,45
1996-11,45
1996-12,45
1997-01,45
1997-02,45
1997-03,45
1997-04,45
1997-05,45
1997-06,45
1997-07,45
1997-08,45
1997-09,45
1997-10,45
1997-11,45
1997-12,45
1998-01,45
1998-02,45
1998-03,45
1998-04,45
1998-05,45
1998-06,45
1998-07,45
1998-08,45
1998-09,42
1998-10,42
1998-11,37
1998-12,37
1999-01,32
1999-02,32
1999-03,32
1999-04,27
1999-05,27
1999-06,27
1999-07,27
1999-08,27
1999-09,27
1999-10,27
1999-11,27
1999-12,27
2000-01,27
2000-02,27
2000-03,27
2000-04,27
2000-05,27
2000-06,27
2000-07,27
2000-08,27
2000-09,27
2000-10,27
2000-11,27
2000-12,27
2001-01,27
2001-02,27
2001-03,27
2001-04,27
2001-05,27
2001-06,27
2001-07,27
2001-08,27
2001-09,27
2001-10,27
2001-11,27
2001-12,27
2002-01,27
2002-02,27
2002-03,24.5
2002-04,24.5
2002-05,24.5
2002-06,24.5
2002-07,24.5
2002-08,24.5
2002-09,24.5
2002-10,24.5
2002-11,24.5
2002-12,24.5
2003-01,25.5
2003-02,25.5
2003-03,27.5
2003-04,27.5
2003-05,27.5
2003-06,27.5
2003-07,26
2003-08,26
2003-09,26
2003-10,24
2003-11,24
2003-12,21.5
2004-01,21.5
2004-02,20
2004-03,20
2004-04,20
2004-05,18.5
2004-06,18.5
2004-07,18.5
2004-08,18.5
2004-09,18.5
2004-10,18.5
2004-11,18.5
2004-12,18.5
2005-01,18.5
2005-02,18.5
2005-03,18.5
2005-04,18.5
2005-05,16.5
2005-06,16.5
2005-07,16.5
2005-08,16.5
2005-09,15.5
2005-10,15.5
2005-11,15.5
2005-12,15.5
2006-01,14.5
2006-02,14.5
2006-03,14.5
2006-04,14.5
2006-05,14.5
2006-06,14.5
2006-07,14.5
2006-08,14.5
2006-09,14.5
2006-10,14.5
2006-11,14.5
2006-12,12.5
2007-01,12.5
2007-02,12.5
2007-03,12.5
2007-04,12.5
2007-05,12.5
2007-06,12.5
2007-07,12.5
2007-08,12.5
2007-09,12.5
2007-10,12.5
2007-11,13.5
2007-12,13.5
2008-01,13.5
2008-02,13.5
2008-03,14.25
2008-04,14.25
2008-05,16
2008-06,16
2008-07,17
2008-08,17
2008-09,17
2008-10,17
2008-11,17
2008-12,17
2009-01,17
2009-02,18.5
2009-03,18.5
2009-04,18.5
2009-05,18.5
2009-06,18.5
2009-07,18.5
2009-08,18.5
2009-09,18.5
2009-10,18.5
2009-11,18
2009-12,18
2010-01,18
2010-02,16
2010-03,16
2010-04,15
2010-05,15
2010-06,15
2010-07,13.5
2010-08,13.5
2010-09,13.5
2010-10,13.5
2010-11,13.5
2010-12,13.5
2011-01,13.5
2011-02,13.5
2011-03,13.5
2011-04,13.5
2011-05,13
2011-06,13
2011-07,12.5
2011-08,12.5
2011-09,12.5
2011-10,12.5
2011-11,12.5
2011-12,12.5
2012-01,12.5
2012-02,13.5
2012-03,13.5
2012-04,14.5
2012-05,14.5
2012-06,15
2012-07,15
2012-08,15
2012-09,15
2012-10,15
2012-11,15
2012-12,15
2013-01,15
2013-02,15
2013-03,15
2013-04,15
2013-05,16
2013-06,16
2013-07,16
2013-08,16
2013-09,16
2013-10,16
2013-11,16
2013-12,16
2014-01,16
2014-02,18
2014-03,18
2014-04,18
2014-05,18
2014-06,18
2014-07,19
2014-08,19
2014-09,19
2014-10,19
2014-11,21
2014-12,21
2015-01,21
2015-02,21
2015-03,21
2015-04,21
2015-05,22
2015-06,22
2015-07,22
2015-08,24
2015-09,25
2015-10,25
2015-11,26
2015-12,26
2016-01,26
2016-02,26
2016-03,26
2016-04,26
2016-05,26
2016-06,26
2016-07,26
2016-08,26
2016-09,26
2016-10,26
2016-11,25.5
2016-12,25.5
2017-01,25.5
2017-02,25.5
2017-03,23.5
2017-04,23.5
2017-05,22.5
2017-06,22.5
2017-07,21
2017-08,21
2017-09,21
2017-10,21
2017-11,20
2017-12,20
2018-01,20
2018-02,20
2018-03,18
2018-04,18
2018-05,17
2018-06,17
2018-07,17
2018-08,17
2018-09,17
2018-10,17
2018-11,17
2018-12,17
2019-01,16
2019-02,16
2019-03,16
2019-04,16
2019-05,16
2019-06,16
2019-07,16
2019-08,16
2019-09,16
2019-10,16
2019-11,16
2019-12,16
2020-01,16
2020-02,16
2020-03,14.5
2020-04,14.5
2020-05,14.5
2020-06,14.5
