@TIME_PERIOD,@OBS_VALUE
1978-09,11
1978-10,11
1978-11,11
1978-12,11
1979-01,11
1979-02,11
1979-03,11
1979-04,11
1979-05,11
1979-06,11
1979-07,11
1979-08,11
1979-09,11
1979-10,11
1979-11,11
1979-12,11
1980-01,11
1980-02,11
1980-03,11
1980-04,11
1980-05,11
1980-06,11
1980-07,11
1980-08,11
1980-09,11
1980-10,11
1980-11,11
1980-12,11
1981-01,11
1981-02,11
1981-03,11
1981-04,11
1981-05,11
1981-06,11
1981-07,11
1981-08,11
1981-09,11
1981-10,11
1981-11,11
1981-12,11
1982-01,11
1982-02,11
1982-03,11
1982-04,11
1982-05,11
1982-06,11
1982-07,11
1982-08,11
1982-09,11
1982-10,11
1982-11,11
1982-12,11
1983-08,15.5
1983-09,16.5
1983-10,16.5
1983-11,16.5
1983-12,16.5
1984-08,15.5
1984-09,16.5
1984-10,16.5
1984-11,16.5
1984-12,16.5
1985-08,15.5
1985-09,16.5
1985-10,16.5
1985-11,16.5
1985-12,16.5
1986-01,16.5
1986-02,16.5
1986-03,16.5
1986-04,16.5
1986-05,16.5
1986-06,16.5
1986-07,16.5
1986-08,16.5
1986-09,18.5
1986-10,18.5
1986-11,18.5
1986-12,18.5
1987-01,18.5
1987-02,18.5
1987-03,21.5
1987-04,21.5
1987-05,21
1987-06,21
1987-07,21
1991-01,18.1
1991-02,18.3
1991-03,18.3
1991-04,18.35
1991-05,18.35
1991-06,18.35
1991-07,18.35
1991-08,18.45
1991-09,18.85
1991-10,17.95
1991-11,17.95
1991-12,16.65
1992-01,15.79
1992-02,14.35
1992-03,13.6
1992-04,13.7
1992-05,13.16
1992-06,12.8
1992-07,12.91
1992-08,12.82
1992-09,12.73
1992-10,13
1992-11,13.59
1992-12,13.93
1993-01,14.66
1993-02,15.93
1993-03,16.68
1993-04,18.33
1993-05,18.22
1993-06,19.59
1993-07,19.75
1993-08,19.75
1993-09,19.75
1993-10,19.75
1993-11,19.75
1993-12,19.78
1994-01,19.27
1994-02,16.76
1994-03,17.91
1994-04,17.65
1994-05,17.65
1994-06,17.3
1994-07,17.22
1994-08,17.22
1994-09,17.44
1994-10,17.44
1994-11,17.44
1994-12,18.28
1995-01,19.17
1995-02,20
1995-03,21.33
1995-04,21.39
1995-05,21.39
1995-06,21.69
1995-07,21.69
1995-08,21.69
1995-09,21.69
1995-10,24.74
1995-11,25.75
1995-12,25.75
1996-01,27.58
1996-02,27.69
1996-03,27.69
1996-04,27.69
1996-05,27.69
1996-06,27.52
1996-07,27.52
1996-08,27.52
1996-09,27.52
1996-10,27.25
1996-11,27.25
1996-12,27.25
1997-01,27.25
1997-02,27.5
1997-03,27.5
1997-04,27.5
1997-05,27.5
1997-06,27.5
1997-07,27.5
1997-08,27.5
1997-09,27.5
1997-10,27.5
1997-11,27.5
1997-12,27.68
1998-01,27.25
1998-02,27.25
1998-03,27.25
1998-04,27.25
1998-05,27.25
1998-06,24
1998-07,23.5
1998-08,23.5
1998-09,22
1998-10,19.5
1998-11,16.5
1998-12,16.5
1999-01,16.5
1999-02,16.5
1999-03,17
1999-04,17
1999-05,16
1999-06,15.75
1999-07,15.75
1999-08,13.5
1999-09,13.5
1999-10,10.5
1999-11,14.5
1999-12,10.5
2000-01,13.5
2000-02,13.5
2000-03,13.5
2000-04,13.5
2000-05,13.5
2000-06,14
2000-07,18.5
2000-08,18
2000-09,18
2000-10,18
2000-11,18
2000-12,18
2001-01,18
2001-02,18
2001-03,18
2001-04,18
2001-05,18
2001-06,18
2001-07,18
2001-08,18
2001-09,18
2001-10,15.5
2001-11,14.5
2001-12,14.5
2002-01,13.5
2002-02,12.5
2002-03,12
2002-04,10.9
2002-05,10.9
2002-06,10.9
2002-07,10.9
2002-08,9.5
2002-09,9.5
2002-10,9.5
2002-11,10.5
2002-12,13
2003-01,10.5
2003-02,10.5
2003-03,10.5
2003-04,10.5
2003-05,11
2003-06,11
2003-07,11.75
2003-08,11.75
2003-09,11.75
2003-10,11.75
2003-11,12.25
2003-12,9.75
2004-01,9.5
2004-02,9.5
2004-03,9.5
2004-04,9.5
2004-05,9.5
2004-06,9.5
2004-07,9.5
2004-08,9.5
2004-09,9.5
2004-10,9.5
2004-11,9.5
2004-12,9.5
2005-01,9.5
2005-02,9
2005-03,9
2005-04,9
2005-05,9
2005-06,9
2005-07,9
2005-08,9
2005-09,7.5
2005-10,7.5
2005-11,6.375
2005-12,6.375
2006-01,6.375
2006-02,6.375
2006-03,6.375
2006-04,6.375
2006-05,6.375
2006-06,6.375
2006-07,6.375
2006-08,6.375
2006-09,7.05
2006-10,5.75
2006-11,5
2006-12,4.75
2007-01,4.75
2007-02,4.75
2007-03,4.75
2007-04,4.75
2007-05,4.75
2007-06,4.75
2007-07,4.55
2007-08,4.55
